题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
"测试验收方面应组织相关部门和相关人员对系统测试验收报告进行（），并签字确认
 ",审定  ,讨论  ,研究  ,检查,1,单选,2,2,法律法规,,,,,,
"在测试验收前应根据设计方案或合同要求等制订测试验收方案，在测试验收过程中应详细记录测试验收结果，并形成（）
 ",会议纪要  ,测试验收报告  ,书面材料  ,保密性测试报告,2,单选,2,2,法律法规,,,,,,
"测试验收方面应指定或授权专门的部门负责系统测试验收的管理，并按照（）完成系统测试验收工作
 ",需求文档  ,开发文档  ,管理规定的要求  ,设计文档,3,单选,2,2,法律法规,,,,,,
? 按照那些要求可以确定定级对象（  ） ,《管理办法》 ,《信息系统安全等级保护定级指南》 ,《信息安全等级保护制度》 ,《中华人民共和国金融行业标准》,"1,2",多选,2,2,法律法规,,,,,,
 国家保密工作部门负责涉密信息系统定级工作的（   ） ,监督 ,检查 ,指导 ,通报,"1,2,3",多选,2,2,法律法规,,,,,,
  国家密码管理部门负责定级工作中有关密码工作的（   ） ,监督 ,检查 ,指导 ,通报,"1,2,3",多选,2,2,法律法规,,,,,,
《中华人民共和国计算机信息系统安全保护条例》【147号】是中华人民共和国国务院在什么时间发布的？（  ）,1994年2月18日,2009年10月27日,2004年9月15日,2000年6月1日,1,单选,2,2,法律法规,,,,,,
《中华人民共和国计算机信息系统安全保护条例》适用于哪些计算机信息系统的安全保护？（  ）,国内外所有计算机信息系统,中华人民共和国境内未联网的微型计算机,中华人民共和国境内的计算机信息系统,中华人民共和国所有联网计算机,3,单选,2,2,法律法规,,,,,,
_____主管全国计算机信息系统安全保护工作。（  ）,公安部,国务院,国家安全部,国家保密局,1,单选,2,2,法律法规,,,,,,
 计算机信息系统实行安全等级保护。安全等级的划分标准和安全等级保护的具体办法，由_____会同有关部门制定。（  ） ,国家保密局,公安部,国务院,国家安全部,2,单选,2,2,法律法规,,,,,,
进行国际联网的计算机信息系统，由计算机信息系统的使用单位报_____备案。（  ） ,市级以上人民政府公安机关,省级以上人民政府公安机关,县（区）级以上人民政府公安机关,任意人民政府公安机关,2,单选,2,2,法律法规,,,,,,
运输、携带、邮寄计算机信息媒体进出境的，应当如实向______申报。（  ）,公安机关,主管单位 ,海关 ,国家安全部,3,单选,2,2,法律法规,,,,,,
对计算机信息系统中发生的案件，有关使用单位应当在24小时内向当地______报告。（  ）,市级以上人民政府公安机关,省级以上人民政府公安机关,县级以上人民政府公安机关 ,任意人民政府公安机关,3,单选,2,2,法律法规,,,,,,
执行《中华人民共和国计算机信息系统安全保护条例》的国家公务员利用职权，索取、收受贿赂或者其他违法、失职行为，尚不构成犯罪的，如何处理？（  ）,追究民事责任,行政处分,不做任何处理,记过处分,2,单选,2,2,法律法规,,,,,,
《中华人民共和国计算机信息系统安全保护条例》中计算机信息系统安全专用产品是指用于保护计算机信息系统安全的_____产品。（  ）,专用硬件和软件产品,专用硬件产品,专用软件产品,专用的系统,1,单选,2,2,法律法规,,,,,,
《中华人民共和国计算机信息系统安全保护条例》中规定计算机信息系统的建设和应用，应当遵守哪些规定？（  ）,法律,行政法规,国家其他有关规定,使用手册,"1,2,3",多选,2,2,法律法规,,,,,,
《中华人民共和国电子签名法》的实施时间是（）,1994年2月28日,2004年8月28日,2005年4月1日,2005年6月23日?,3,单选,2,2,法律法规,,,,,,
信息安全风险是指人为或自然的（）利用信息系统及其管理体系中存在的（）导致安全事件的发生及其对组织造成的影响,脆弱性、威胁?,威胁、弱点,威胁、脆弱性,弱点、威胁,3,单选,2,2,法律法规,,,,,,
信息系统安全保护等级分为,三级,四级,五级,六级,3,单选,2,2,法律法规,,,,,,
《中华人民共和国网络安全法》从那天正式施行？（）,42887,42917,2017年8月1日,42979,1,单选,2,2,法律法规,,,,,,
从网络安全法本身看，什么是网络安全？（）,一种能力,一种服务,一种态度,一种精神,1,单选,2,2,法律法规,,,,,,
关于个人信息，网络安全法采用的身份识别说，这个方法借鉴的那个国家组织立法？（）,欧盟,美国,俄罗斯,联合国,1,单选,2,2,法律法规,,,,,,
以下对等级保护制度中岗位设置方面描述正确的是（   ）,为了节约成本，系统管理员、网络管理员、安全管理员可以兼任,应设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责,应设立系统管理员、网络管理员、安全管理员等岗位，各个工作岗位的职责无需划分太清晰，允许有部分重合,领导可以口头上明确安全管理机构各个部门和岗位的职责、分工和技能要求,2,单选,2,2,法律法规,,,,,,
国家对于打击电信诈骗案引发点是（）。,雪梨枪案,北京千万电信诈骗案,8·19徐玉玉电信诈骗案,K8社工库侵犯公民个人信息案,3,单选,2,2,法律法规,,,,,,
我们国家网络安全的两个支柱是？（）,网络,网络数据,服务器,路由器,"1,2",多选,2,2,法律法规,,,,,,
《中华人民共和国网络安全法》发布时间是？（）,2017年6月1日,2016年6月1日,2016年11月7日,42856,3,单选,2,2,法律法规,,,,,,
网络安全法共有多少条目？（）,49,59,1900年3月9日,79,4,单选,2,2,法律法规,,,,,,
信息安全自评估服务机构应当有专业评估人员不少于多少人？,8,20,1900年1月10日,15,3,单选,2,2,法律法规,,,,,,
信息系统运营、使用单位应当按照什么具体实施等级保护工作？,《信息系统安全等级保护定级指南》,《信息安全技术信息系统安全管理要求》（GB/T20269-2006）,《信息系统安全等级保护实施指南》?,《中华人民共和国网络安全法》,3,单选,2,2,法律法规,,,,,,
涉密信息系统的等级由系统使用单位确定，按照什么原则进行分级保护？,谁主管，谁运维,谁主管，谁负责,谁主管，谁保障,"谁主管,谁看管",2,单选,2,2,法律法规,,,,,,
下列关于我国涉及网络信息安全的法律说法不正确的是（）,在1979年的刑法中已经包含相关的计算机犯罪的罪名?,《关于维护互联网安全的决定》是我国目前为止直接规范网络信息安全的效力最高的法律文件,2003年全国人大常委会审核通过了《中华人民共和国电子签名法》?,《中华人民共和国电子签名法》的实施年份是2004年?,"1,3,4",多选,2,2,法律法规,,,,,,
以下属于信息安全管理员的职责的是(),制定网络设备安全配置规则,对信息安全产品的购置提出建议,对系统管理员的操作行为进行指导和监督,负责信息安全保障工作的具体组织协调,"2,3,4",多选,2,2,法律法规,,,,,,
2013年9月上旬，最高人民法院、最高人民检察院联合下发《关于办理利用信息网络实施诽谤等刑事案件适用法律若干问题的解释》，以下关于《解释》的说法正确的是,同一诽谤信息实际被点击、浏览次数达到5000次以上，或者被转发次数达到5000次以上的，应当认定为“情节严重”,在网上辱骂恐吓他人造成公共秩序严重混乱的属寻衅滋事罪,有偿对网站、论坛等经营类组织进行公关并删除不利于己的互联网信息属于正常经营行为，不构成犯罪,明知他人利用信息网络实施诽谤、寻衅滋事、敲诈勒索、非法经营等犯罪，为其提供资金、场所、技术支持等帮助的，以共同犯罪论处?,"2,4",多选,2,2,法律法规,,,,,,
非法利用信息网络罪中同时违反该条两款行为时，会受到怎样的惩罚？（）,两项从重处罚,两项数罪并罚,两项从轻处罚,两项逐个处罚,1,单选,2,2,法律法规,,,,,,
民法总则是第（）次对于数据与网络虚拟财产的法律属性进行规定。,一,二,三,四,1,单选,2,2,法律法规,,,,,,
对于贩卖公民通信记录等重要信息入罪门槛是（）条,5000,50000,100000,1000000,1,单选,2,2,法律法规,,,,,,
以下哪项不属于等级保护制度中安全管理制度控制点的是（   ）,人员管理,管理制度,制定和发布,评审和修订,4,单选,2,2,法律法规,,,,,,
以下哪项不是网络运营收集个人信息的原因？（）,合法,正当,必要,盈利,4,单选,2,2,法律法规,,,,,,
"以下哪个是网安法的国内建设？（）
",中国制造2025,网络强国战略,十三五国家信息化规划,国家网络空间安全战略,"1,2,3,4",多选,2,2,法律法规,,,,,,
网络安全法中设立的最高返款金额为（）万元。,一,十,百,千,3,单选,2,2,法律法规,,,,,,
当您连接到公司或外部无线网络时，您应该,不用花钱，尽情享用无线互联网，不会有人发觉无线网络的使用,对在网上传输的数据进行加密保护，以防止敏感数据泄露或曝光,担心是否会有陌生人登录到您的电脑, 它足够安全，可以传输个人敏感数据,2,单选,1,1,安全意识,,,,,,
下列哪些现象可以发现系统异常?,大量的日志错误 ,超常的网络流量 ,防火墙报警 ,CPU、内存资源占用率过高 ,"1,2,3,4",多选,2,2,安全意识,,,,,,
以下哪种口令不属于弱口令,1.2345678,abcdefg ,AAAAAAA ,qw！bydp00dwz1.,4,单选,1,1,安全意识,,,,,,
计算机病毒是指,带细菌的磁盘  ,已损坏的磁盘   ,具有破坏性的特制程序   ,被破坏了的程序,3,单选,1,1,安全意识,,,,,,
黑客通常实施攻击的步骤是怎样的,远程攻击、本地攻击、物理攻击,扫描、拒绝服务攻击、获取控制权、安装后门、嗅探,扫描、获取访问权、提升权限、安装后门、清除痕迹,踩点（包括查点）、扫描、获取访问权、提升权限、安装后门、清除痕迹,4,单选,1,1,安全意识,,,,,,
可以从哪些方面增强收邮件的安全性,不断优化垃圾邮件设置、查看邮件数字签名，确认发件人信息、定期更新防病毒软件,不断优化垃圾邮件设置、查看邮件数字签名，确认发件人信息、定期更新防病毒软件、邮件传输加密 ,全部不是 ,查看邮件数字签名，确认发件人信息、定期更新防病毒软件、邮件传输加密 ,1,单选,1,1,安全意识,,,,,,
所有进入网络和信息系统工作的人员，必须签订保密协议，具体协议保密协议的人员范围包括：,网络使用者,正式雇员,离职雇员,第三方人员,"2,3,4",多选,1,1,安全意识,,,,,,
________的目的是发现目标系统中存在的安全隐患，分析所使用的安全机制是否能够保证系统的机密性、完整性和可用性。（      ） ,漏洞分析 ,入侵检测 ,安全评估 ,端口扫描,1,单选,1,1,安全意识,,,,,,
错误的认证和会话管理的防范措施是,用户密码强度（长度、字母、数字、符号等），不使用简单或可预期的密码恢复问题,登录出错时不给过多提示,登录页面需要加密,对多次登录失败的帐号进行短时锁定,"1,2,3,4",多选,2,2,安全意识,,,,,,
黑客利用IP地址进行攻击的方法有,IP欺骗,解密  ,窃取口令    ,发送病毒,1,单选,1,1,安全意识,,,,,,
在以下人为的恶意攻击行为中、属于主动攻击的是 ,身份假冒    ,数据窃听   ,数据流分析  ,非法访问,1,单选,1,1,安全意识,,,,,,
下列哪种攻击方法不属于攻击痕迹清除？,篡改日志文件中的审计信息,修改完整性检测标签 ,替换系统的共享库文件,改变系统时间造成日志文件数据紊乱,3,单选,1,1,安全意识,,,,,,
网页病毒主要通过以下途径传播,邮件      ,文件交换     ,网络浏览    ,光盘,3,单选,1,1,安全意识,,,,,,
桂云在财务部工作，一天她在浏览一家社交网站时，好奇的搜索了一下自己的名字，发现有一个人的资料和她几乎全部相同，同姓名、同一家公司、同一个部门，只是邮件地址不同。桂云应该如何办？,桂云应该报告给公司的信息安全部门以便采取适当的身份效用防范和响应措施,桂云应该通过邮件联系对方并请求对方删除资料,桂云应该联系网站管理员并且报告这起身份盗用,桂云应该忽略掉，因为这不是她,1,单选,1,1,安全意识,,,,,,
从系统整体看，安全"漏洞"包括哪些方面,技术因素        ,人的因素           ,规划，策略和执行过程,黑客因素,"1,2,3",多选,1,1,安全意识,,,,,,
在下列这些网络攻击模型的攻击过程中，端口扫描攻击一般属于哪一项？,信息收集,弱点挖掘,攻击实施,痕迹清除,1,单选,1,1,安全意识,,,,,,
如果您收到邮件向您索要用户名和密码，您会如何办？,提供相关信息,只向看上去合法可信的机构提供,不提供,回复邮件称您不会接受这无理要求,3,单选,1,1,安全意识,,,,,,
如下哪种说法正确？,我们的工作邮件几乎都是发给同事的，所以没必要加密,如果邮件内容涉密，我们应该在邮件标题或内容的显眼位置标识出来,将邮件附件加密后无法扫描病毒，所以为了安全不能将附件进行加密,加密邮件会影响工作效率，并且容易对协同工作造成不便，还是不要加密邮件,2,单选,1,1,安全意识,,,,,,
网游安全防护建议错误的是,选择网络游戏运营商时，要选择合法正规的网络运营商 ,保留有关凭证，如充值记录、网上转账记录、协议内容等，以便日后维权使用 ,在网吧玩网游时，直接登录账号开始游戏 ,尽量不要轻易购买大金额的网游道具,3,单选,1,1,安全意识,,,,,,
网页恶意代码通常利用（ C ）来实现植入并进行攻击。,口令攻击,U盘工具,IE浏览器的漏洞,拒绝服务攻击,3,单选,1,1,安全意识,,,,,,
有意避开系统访问控制机制，对网络设备及资源进行非正常使用属于,破环数据完整性 ,非授权访问  ,信息泄漏 ,拒绝服务攻击,2,单选,1,1,安全意识,,,,,,
网络安全工作的目标包括,信息机密性,信息完整性,服务可用性,可审查性,"1,2,3,4",多选,1,1,安全意识,,,,,,
微博安全防护建议错误的是, 接收带有广告、测试等性质的微博要有警惕之心，不要贪图小便宜随意点击来历不明的链接 ,不发布虚假信息、不造谣、不传谣、不发表不当言论,对微博进行相应安全配置：账号设置--隐私安全、账号安全,可在任意公共电脑或者移动终端登录 ,4,单选,1,1,安全意识,,,,,,
在门口，您看到一名双手都提着物品的陌生人要求您帮忙打开门禁，您会怎么做？,对方操作有困难，我应该文明友好地使用我的权限卡来帮忙,假装没有听到或刻意忽略对方的要求,表示不明白对方的要求或严词拒绝,礼貌地帮助对方拿物品，并要求对方使用自己的权限开启门禁,4,单选,1,1,安全意识,,,,,,
第三方公司员工离场时需要归还 ,门禁卡 ,门禁卡、钥匙、饭卡 ,门禁卡、钥匙、相关文件 ,门禁卡、钥匙、相关文件、饭卡,4,单选,1,1,安全意识,,,,,,
QQ密码保护都能使用哪些方式,密保手机、手机令牌,密保手机、手机令牌 、QQ令牌、设置密保问题, 手机令牌、QQ令牌,密保手机、QQ令牌、设置密保问题 ,2,单选,1,1,安全意识,,,,,,
字典攻击被用于,用户欺骗    ,远程登录    ,网络嗅探 ,破解密码,4,单选,1,1,安全意识,,,,,,
信息安全威胁包括哪些,病毒、木马 ,黑客行为,恶意软件、垃圾软件,人为因素，比如使用不当，安全意识差等,"1,2,3,4",多选,1,1,安全意识,,,,,,
对于数据完整性，描述正确的是 ,正确性、有效性、一致性,正确性、容错性、一致性,正确性、有效性、容错性,容错性、有效性、一致性,1,单选,1,1,安全意识,,,,,,
管理员设置系统登录口令为简单的“123456”，这属于下列哪一项安全漏洞？,操作系统漏洞,应用服务漏洞,信息泄露漏洞,弱配置漏洞,4,单选,1,1,安全意识,,,,,,
下面的说法正确的是______ ,信息的泄漏只在信息的传输过程中发生,信息的泄漏只在信息的存储过程中发生,信息的泄漏只在信息的传输和存储过程中发生,上面三个都不对,4,单选,1,1,安全意识,,,,,,
在使用社交网络时，您应该注意如下哪项行为,选择安全的浏览器，因为多数恶意代码来自网络浏览器,防止提供您个人以及他人的私人信息,禁用不必要的插件和加载项,设置可用的安全选项,2,单选,1,1,安全意识,,,,,,
网络安全扫描能够,发现目标主机或网络,判断操作系统类型,确认开放的端口,识别网络的拓扑结构,"1,2,3,4",多选,1,1,安全意识,,,,,,
浏览器存在的安全风险主要包含,网络钓鱼、隐私跟踪,网络钓鱼 、隐私跟踪 、数据劫持,隐私跟踪、数据劫持、浏览器的安全漏洞 ,网络钓鱼、隐私跟踪、数据劫持、浏览器的安全漏洞 ,4,单选,1,1,安全意识,,,,,,
假冒网络管理员，骗取用户信任，然后获取密码口令信息的攻击方式被称为___,密码猜解攻击,社会工程攻击,缓冲区溢出攻击,网络监听攻击,2,单选,1,1,安全意识,,,,,,
拒绝服务攻击的这种攻击形式破坏了下列哪一项内容?,网络服务的可用性,网络信息的完整性,网络信息的保密性,网络信息的抗抵赖性,1,单选,1,1,安全意识,,,,,,
网络监听（嗅探）的这种攻击形式破坏了下列哪一项内容？,网络信息的抗抵赖性 ,网络信息的保密性,网络服务的可用性,网络信息的完整性,2,单选,1,1,安全意识,,,,,,
会话劫持的这种攻击形式破坏了下列哪一项内容？,网络信息的抗抵赖性,网络信息的保密性,网络服务的可用性,网络信息的完整性,4,单选,1,1,安全意识,,,,,,
在信息系统安全中，风险由以下哪两种因素共同构成的？,攻击和脆弱性  ,威胁和攻击  ,威胁和脆弱性  ,威胁和破坏,3,单选,1,1,安全意识,,,,,,
下载安全建议正确的选项是,选择资源丰富的网站下载 ,关闭杀毒软件，提高下载速度 ,下载完成后直接打开下载的文件 ,下载软件时，最好到软件官方网站或者其他正规软件下载网站下载,4,单选,1,1,安全意识,,,,,,
下列口令维护措施中，不合理的是：,第一次进入系统就修改系统指定的口令,怕把口令忘记，将其记录在本子上,去掉guest（客人）账号,限制登录次数,2,单选,1,1,安全意识,,,,,,
社交网站安全防护建议错误的选项是,尽量不要填写过于详细的个人资料 ,不要轻易加社交网站好友 ,充分利用社交网站的安全机制 ,信任他人转载的信息 ,4,单选,1,1,安全意识,,,,,,
立口令正确的方法是,选择5个字符串长度的口令,选择7个字符串长度的口令 ,选择相同的口令访问不同的系统 ,选择不同的口令访问不同的系统,"1,2,4",多选,1,1,安全意识,,,,,,
黑客造成的主要安全隐患包括,破坏系统、窃取信息及伪造信息,攻击系统、获取信息及假冒信息,进入系统、损毁信息及谣传信息,以上都不对,1,单选,1,1,安全意识,,,,,,
口令攻击的主要目的是,获取口令破坏系统             ,获取口令进入系统,仅获取口令没有用途,以上都不是,2,单选,1,1,安全意识,,,,,,
从统计的资料看，内部攻击是网络攻击的,次要攻击             ,最主要攻击             ,不是攻击源,以上都不是,2,单选,1,1,安全意识,,,,,,
网络物理隔离是指,两个网络间链路层在任何时刻不能直接通讯,两个网络间网络层在任何时刻不能直接通讯,两个网络间链路层、网络层在任何时刻都不能直接通讯,以上都不是,3,单选,1,1,安全意识,,,,,,
企业重要数据要及时进行（　　），以防出现以外情况导致数据丢失。,杀毒,加密,备份,以上都不是,3,单选,1,1,安全意识,,,,,,
下面关于恶意代码防范描述正确的是,及时更新系统，修补安全漏洞 ,设置安全策略，限制脚本,启用防火墙，过滤不必要的服务,以上都正确,4,单选,1,1,安全意识,,,,,,
为什么说披露客户的个人信息并不是好的信息安全实践呢,客户可能会收到广告消息或垃圾邮件,披露客户敏感信息可能违法，也可能会将客户信息泄露给竞争对手,犯罪份子可能会冒充公司诈骗客户,以上所有,4,单选,1,1,安全意识,,,,,,
从互联网下载和安装软件程序有什么危险？,可能会花费额外的IT费用,您可能会为侵害了公司的资源而负责,您的私人数据信息可能被窃取或用于违法目的,以上所有,4,单选,1,1,安全意识,,,,,,
严格的口令策略应当包含哪些要素,满足一定的长度，比如8位以上,同时包含数字，字母和特殊字符,系统强制要求定期更改口令 ,用户可以设置空口令,"1,2,3,4",多选,1,1,安全意识,,,,,,
以下哪项是只有你具有的生物特征信息 ,指纹、掌纹、手型 ,指纹、掌纹、虹膜、视网膜 ,指纹、手型、脸型、声音、签名 ,指纹、掌纹、手型、虹膜、视网膜、脸型、声音、签名,4,单选,1,1,安全意识,,,,,,
风险评估的三个要素,政策，结构和技术,组织，技术和信息 ,硬件，软件和人 ,资产，威胁和脆弱性,4,单选,1,1,安全意识,,,,,,
建设关键信息基础设施应当确保其具有支持业务稳定、持续运行的性能，并保证安全技术措施________。,同步规划,同步建设,同步投运??,同步使用,"1,2,4",多选,2,2,法律法规,,,,,,
公司秘密包括________两类。,商业秘密?,个人秘密?,工作秘密,部门文件?,"1,3",多选,1,1,法律法规,,,,,,
国家采取措施，____来源于中华人民共和国境内外的网络安全风险和威胁，保护关键信息基础设施免受攻击、侵入、干扰和破坏。,监测?,防御,处置,隔离,"1,2,3",多选,2,2,法律法规,,,,,,
信息安全“三个不发生”是指________。,确保不发生大面积信息系统故障停运事故?,确保不发生恶性信息泄密事故,确保不发生信息外网网站被恶意篡改事故 ,确保不发生信息内网非法外联事故,"1,2,3",多选,2,2,法律法规,,,,,,
下列情况违反“五禁止”的有________。,在信息内网计算机上存储国家秘密信息,在信息外网计算机上存储企业秘密信息,在信息内网和信息外网计算机上交叉使用普通优盘 ,在信息内网和信息外网计算机上交叉使用普通扫描仪,"1,2,3,4",多选,2,2,法律法规,,,,,,
 网络运营者收集、使用个人信息，应当遵循______________的原则，公开收集、使用规则，明示收集、使用信息的目的、方式和范围，并经被收集者同意。,真实,合法,正当,必要,"2,3,4",多选,2,2,法律法规,,,,,,
下列关于网络信息安全说法正确的有_______。,网络运营者应当对其收集的用户信息严格保密,网络运营者应妥善管理用户信息，无需建立用户信息保护制度,网络运营者不得泄露、篡改、毁损其收集的个人信息 ,在经过处理无法识别特定个人且不能复原的情况下，未经被收集者同意，网络运营者不得向他人提供个人信息。  ,"1,3",多选,2,2,法律法规,,,,,,
下列关于内外网邮件系统说法正确的有________。,严禁使用未进行内容审计的信息内外网邮件系统,严禁用户使用默认口令作为邮箱密码,严禁内外网邮件系统开启自动转发功能,严禁用户使用互联网邮箱处理公司办公业务,"1,2,3,4",多选,1,1,法律法规,,,,,,
网络运营者，是指________。,网络运维者,网络所有者,网络服务提供者,网络管理者 ,"2,3,4",多选,2,2,法律法规,,,,,,
下列关于网络安全法的说法错误的有________。,国家规定关键信息基础设施以外的网络运营者必须参与关键信息基础设施保护体系。,关键信息基础设施的运营者可自行采购网络产品和服务不通过安全审查。  ,网络运营者应当加强对其用户发布的信息的管理，发现法律、行政法规禁止发布或者传输的信息的，应当立即向上级汇报。,国家网信部门应当统筹协调有关部门加强网络安全信息收集、分析和通报工作，按照规定统一发布网络安全监测预警信息。 ,"1,2",多选,2,2,法律法规,,,,,,
某单位信息内网的一台计算机上一份重要文件泄密，但从该计算机上无法获得泄密细节和线索，可能的原因是________。,该计算机未开启审计功能,该计算机审计日志未安排专人进行维护,该计算机感染了木马,该计算机存在系统漏洞,"1,2,3,4",多选,1,1,法律法规,,,,,,
网络安全事件发生的风险增大时，省级以上人民政府有关部门应当按照规定的权限和程序，并根据网络安全风险的特点和可能造成的危害，采取下列措施_______。,要求有关部门、机构和人员及时收集、报告有关信息,加强对网络安全风险的监测 ,组织有关部门、机构和专业人员，对网络安全风险信息进行分析评估,向社会发布网络安全风险预警，发布避免、减轻危害的措施 ,"1,3,4",多选,2,2,法律法规,,,,,,
因网络安全事件，发生突发事件或者生产安全事故的，应当依照_______等有关法律、行政法规的规定处置。,《中华人民共和国网络安全法》,《中华人民共和国突发事件应对法》 ,《中华人民共和国安全生产法》 ,《中华人民共和国应急法》,"2,3",多选,2,2,法律法规,,,,,,
 网络安全事件应急预案应当按照事件发生后的________、________等因素对网络安全事件进行分级。,危害程度,影响范围,事件等级 ,关注程度,"1,2",多选,2,2,法律法规,,,,,,
网络安全法规定，网络运营者应当制定________，及时处置系统漏洞、计算机病毒、网络攻击、网络侵入等安全风险。,网络安全事件应急预案,网络安全事件补救措施,网络安全事件应急演练方案,网站安全规章制度,1,单选,2,2,法律法规,,,,,,
国家支持网络运营者之间在网络安全信息____、____、____和________等方面进行合作，提高网络运营者的安全保障能力。,发布  收集  分析  事故处理,收集  分析  管理  应急处置,收集  分析  通报  应急处置,审计  转发  处置  事故处理,3,单选,2,2,法律法规,,,,,,
违反网络安全法第二十七条规定，从事危害网络安全的活动，或者提供专门用于从事危害网络安全活动的程序、工具，或者为他人从事危害网络安全的活动提供技术支持、广告推广、支付结算等帮助，尚不构成犯罪的，由公安机关没收违法所得，处__日以下拘留，可以并处___以上___以下罚款。,三日  一万元  十万元,五日  五万元  十万元,五日  五万元  五十万元,十日  五万元  十万元 ,3,单选,2,2,法律法规,,,,,,
互联网出口必须向公司信息化主管部门进行____后方可使用。,备案审批,申请,说明,报备,1,单选,2,2,法律法规,,,,,,
关于信息内网网络边界安全防护说法不准确的一项是____。,要按照公司总体防护方案要求进行,应加强信息内网网络横向边界的安全防护,纵向边界的网络访问可以不进行控制,网络，是指由计算机或者其他信息终端及相关设备组成的按照一定的规则和程序对信息进行收集、存储、传输、交换、处理的系统,3,单选,2,2,法律法规,,,,,,
国务院电信主管部门负责统筹协调网络安全工作和相关监督管理工作。,是,否,,,2,判断,2,2,法律法规,,,,,,
任何个人和组织有权对危害网络安全的行为向网信、电信、公安等部门举报。,是,否,,,1,判断,2,2,法律法规,,,,,,
收到举报的部门但不属于本部门职责的，应及时向上级汇报。,是,否,,,2,判断,2,2,法律法规,,,,,,
有关部门应当对举报人的相关信息予以保密，保护举报人的合法权益。,是,否,,,1,判断,2,2,法律法规,,,,,,
国家不支持企业、研究机构、高等学校、网络相关行业 组织参与网络安全国家标准、行业标准的制定。,是,否,,,2,判断,2,2,法律法规,,,,,,
对关键业务系统的数据，每年应至少进行一次备份数据的恢复演练。,是,否,,,2,判断,2,2,法律法规,,,,,,
合作单位人员进入机房不需要进行登记。,是,否,,,2,判断,2,2,法律法规,,,,,,
信息系统应急预案既要制定、修订和完善，更需要演练与处理。,是,否,,,1,判断,2,2,法律法规,,,,,,
外部合作单位人员进行开发、测试工作要先与公司签署保密协议。,是,否,,,1,判断,2,2,法律法规,,,,,,
网络产品、服务的提供者应当为其产品、服务持续提供安全维护；但出现特殊情况时，在规定或者当事人约定的期限内，可以视情况终止提供安全维护。,是,否,,,2,判断,2,2,法律法规,,,,,,
根据《网络安全法》的规定，关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的个人信息和重要数据应当在（ ）。因业务需要，确需向境外提供的，应当按照国家网信部门会同国务院有关部门制定的办法进行安全评估，法律、行政法规另有规定的，依照其规定。,境外存储,外部存储器储存,第三方存储,境内存储,4,单选,2,2,法律法规,,,,,,
国家鼓励开发网络数据安全保护和利用技术，促进（ ）开放，推动技术创新和经济社会发展。,公共图书馆资源,国家数据资源,公共学校资源,公共数据资源,4,单选,2,2,法律法规,,,,,,
国家倡导诚实守信、健康文明的网络行为，推动传播社会主义核心价值观，采取措施提高全社会的（ ）和水平，形成全社会共同参与促进网络安全的良好环境。,网络安全意识,网络诚信意识,网络社会道德意识,网络健康意识,1,单选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，国家实行网络安全（ ）保护制度。,等级,分层,结构,行政级别,1,单选,2,2,法律法规,,,,,,
《网络安全法》规定，各级人民政府及其有关部门应当组织开展经常性的网络安全宣传教育，并（ ）有关单位做好网络安全宣传教育工作。,指导、督促,支持、指导,鼓励、引导,支持、引导,1,单选,2,2,法律法规,,,,,,
国家建立和完善网络安全标准体系。（ ）和国务院其他有关部门根据各自的职责，组织制定并适时修订有关网络安全管理以及网络产品、服务和运行安全的国家标准、行业标准。,电信研究机构,国务院标准化行政主管部门,网信部门,电信企业,2,单选,2,2,法律法规,,,,,,
网络产品、服务的提供者不得设置（ ），发现其网络产品、服务存在安全缺陷、漏洞等风险时，应当立即采取补救措施，按照规定及时告知用户并向有关主管部门报告。,恶意程序,风险程序,病毒程序,攻击程序,1,单选,2,2,法律法规,,,,,,
国家推进网络安全（ ）建设，鼓励有关企业、机构开展网络安全认证、检测和风险评估等安全服务。,社会化识别体系,社会化评估体系,社会化服务体系,社会化认证体系,3,单选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，（ ）负责统筹协调网络安全工作和相关监督管理工作。,中国电信,信息部,国家网信部门,中国联通,3,单选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，（ ）应当为公安机关、国家安全机关依法维护国家安全和侦查犯罪的活动提供技术支持和协助。,电信科研机构,电信企业,网络合作商,网络运营者,4,单选,2,2,法律法规,,,,,,
网络产品、服务具有（ ）的，其提供者应当向用户明示并取得同意，涉及用户个人信息的，还应当遵守《网络安全法》和有关法律、行政法规关于个人信息保护的规定。,公开用户资料功能,收集用户信息功能,提供用户家庭信息功能,用户填写信息功能,2,单选,2,2,法律法规,,,,,,
国家实施网络（ ）战略，支持研究开发安全、方便的电子身份认证技术，推动不同电子身份认证之间的互认。,信誉身份,可信身份,安全身份,认证身份,2,单选,2,2,法律法规,,,,,,
网络产品、服务应当符合相关国家标准的（ ）要求。,自觉性,规范性,建议性,强制性,4,单选,2,2,法律法规,,,,,,
网络关键设备和网络安全专用产品应当按照相关国家标准的强制性要求，由具备资格的机构（ ）或者安全检测符合要求后，方可销售或者提供。,认证设备合格,安全认证合格,认证网速合格,认证产品合格,2,单选,2,2,法律法规,,,,,,
